r_cntr,object_id,ngood,flags,smss_j,raj2000,dej2000,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_psf,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_psf,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_psf,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_psf,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
199.43,430157088,7,0,100034.11-545034.4,150.142024,-54.842844,74,36,57736.1487,0,0.955,,,,,,,,,,,,,19.3123,0.0284,19.5265,0.0767,19.3203,0.0458,18.5605,0.0572,18.9566,0.0984,18.5626,0.0638,17.7421,0.0256,18.0619,0.1406,17.8695,0.0943,17.4163,0.0291,17.631,0.0645,17.4885,0.055,9.46,430157090
199.47,2618879541,1,0,100028.04-545008.8,150.116848,-54.835786,36,36,58831.6982,0,0.489,,,,,,,,,,,,,,,,,,,,,,,,,19.2648,0.2405,19.7817,0.2425,19.4937,0.1548,,,,,,,7.38,430157045
199.6,430155818,1,515,100056.73-544951.0,150.236317,-54.830803,36,36,57053.626,0,0.675,,,,,,,,,,,,,,,,,,,,,,,,,18.3277,,18.7835,,18.5916,,17.8363,0.0416,18.1251,0.2251,17.818,0.1325,4.17,430155819
199.76,430155418,19,3,100104.18-544727.2,150.267327,-54.790881,36,41,58215.9978,0,0.94,,,,,,,,,,,,,19.135,0.0159,19.1536,0.1269,19.131,0.0268,18.4164,0.0225,18.5072,0.069,18.3883,0.0267,17.8193,0.0247,17.8779,0.05,17.7773,0.0212,17.5575,0.0347,17.5324,0.0475,17.5018,0.0304,5.16,430155420
199.77,430151928,3,0,100101.18-544546.9,150.254936,-54.762816,51,188,58469.0283,0,0.673,,,,,,,,,,,,,,,,,,,,,,,,,19.0889,0.0894,18.8764,0.0968,19.1087,0.0628,,,,,,,7.37,430155374
199.78,430152021,12,0,100053.73-544437.2,150.223851,-54.743634,36,36,58377.3575,0,0.9,,,,,,,,,,,,,20.0408,0.0402,20.6273,0.2277,20.0937,0.0798,19.2778,0.0366,19.5332,0.1874,19.2998,0.0526,18.6955,0.0181,18.7773,0.0434,18.7581,0.0343,18.2926,0.035,18.2742,0.1113,18.324,0.0597,11.33,430152020
199.81,430155819,29,3,100056.39-544954.2,150.234892,-54.831621,61,177,57942.781,1,0.979,,,,,,,,,,,,,17.9317,0.1037,17.7472,0.1239,18.1429,0.0905,17.1759,0.0537,16.7015,0.1775,17.2834,0.0573,16.4579,0.0173,16.2393,0.0738,16.5101,0.0213,16.0672,0.0206,15.967,0.0414,16.0937,0.0162,4.17,430155818
199.85,430164864,8,0,100018.83-544819.0,150.078467,-54.805216,36,71,58477.485,0,0.802,,,,,,,,,,,,,20.1258,0.1594,20.2303,0.1586,20.1669,0.0841,19.3193,0.1385,19.4745,0.1307,19.3033,0.0671,18.5896,0.1116,18.762,0.0759,18.6067,0.048,18.1523,0.1593,18.3183,0.0792,18.1778,0.0657,7.84,430164877
200.03,2618878086,2,0,100055.50-545000.4,150.231285,-54.83345,36,67,58287.6934,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,19.3946,0.0365,19.7509,0.1628,19.5249,0.1082,,,,,,,7.13,430155836
200.05,430157093,11,1,100031.04-545024.6,150.129313,-54.840123,61,36,58187.5199,0,0.93,,,,,,,,,,,,,20.1202,0.0441,20.1959,0.1073,20.1591,0.0836,19.0951,0.1063,18.6293,0.073,19.1438,0.0602,18.3687,0.0355,18.2691,0.0448,18.4214,0.0301,17.9705,0.0297,18.0085,0.0718,17.9948,0.0478,6.75,430157094
200.06,430155434,13,0,100103.61-544810.0,150.26495,-54.80274,36,43,58402.3882,0,0.914,,,,,,,,,,,,,19.9325,0.033,20.3111,0.0984,19.975,0.0539,19.2834,0.027,19.6612,0.1031,19.3139,0.05,18.6267,0.0182,18.7812,0.0594,18.5966,0.0336,18.2557,0.0403,18.4128,0.0873,18.2647,0.0645,6.8,430155440
200.18,430163879,8,1,100018.19-544754.1,150.075738,-54.798365,53,40,56941.9236,0,0.966,,,,,,,,,,,,,18.1298,0.1229,18.0689,0.1317,18.1362,0.1265,17.7875,0.0631,17.9342,0.114,17.8104,0.0814,17.3018,0.0429,17.4209,0.1613,17.428,0.0548,16.9637,0.0483,17.0385,0.0849,16.9594,0.0548,6.89,430163881
200.27,2618877987,0,16,100100.44-544913.9,150.251835,-54.820529,36,36,57743.6942,0,0.385,,,,,,,,,,,,,,,,,,,,,,,,,18.3943,,18.7873,,18.5454,,,,,,,,2.87,430155733
200.28,430152055,6,3,100047.64-544412.1,150.198396,-54.736682,36,47,58287.6948,0,0.696,,,,,,,,,,,,,,,,,,,,,,,,,19.2219,0.0349,19.2179,0.0826,19.1562,0.0568,18.5105,0.0836,18.424,0.0974,18.5113,0.0828,3.66,430152056
200.38,430163877,50,3,100018.05-544747.3,150.075197,-54.796439,36,52,58077.3214,5,0.988,16.285,0.0165,16.3415,0.0273,16.2885,0.018,16.0072,0.0107,16.0225,0.0195,16.0067,0.0124,14.2965,0.0078,14.2827,0.0138,14.2947,0.0098,13.8175,0.0094,13.8146,0.0171,13.8146,0.0111,13.5275,0.0103,13.4963,0.0195,13.5269,0.0114,13.3971,0.0138,13.3898,0.0227,13.3949,0.0152,6.51,430163875
200.5,430163889,13,3,100017.99-544706.3,150.074898,-54.78506,45,83,57716.088,0,0.978,,,,,,,,,,,,,,,,,,,,,,,,,17.736,0.014,17.7534,0.0309,17.7113,0.0221,17.4347,0.0179,17.53,0.0372,17.4343,0.0316,4.92,430163895
200.72,430157138,15,0,100026.27-544958.9,150.109382,-54.83298,36,36,58161.1236,0,0.972,,,,,,,,,,,,,19.3114,0.0186,19.4625,0.0648,19.3247,0.0375,18.4572,0.0217,18.6243,0.069,18.4775,0.0335,17.7769,0.0122,17.9428,0.0277,17.81,0.0241,17.4653,0.0266,17.7366,0.0698,17.4954,0.0492,8.38,430157076
200.85,2618887805,18,3,100019.37-544836.0,150.080736,-54.810027,49,36,57945.1351,0,0.984,18.6359,0.1363,18.1921,0.2567,18.6874,0.0724,18.283,0.0566,18.1463,0.0602,18.3439,0.0375,17.0416,0.0743,16.9324,0.2925,17.0814,0.0429,16.6166,0.0428,16.4367,0.1808,16.6203,0.0554,16.2389,0.0221,16.3151,0.0291,16.2106,0.0179,16.1164,0.0279,16.1393,0.0441,16.0979,0.0319,2.37,430164870
200.85,430152024,7,1,100057.44-544501.7,150.239261,-54.750457,36,42,56926.0966,0,0.936,,,,,,,,,,,,,,,,,,,17.9664,0.1055,17.9748,0.1178,17.9967,0.0872,17.3002,0.0552,17.2376,0.1834,17.3677,0.0495,16.8978,0.1085,16.5712,0.209,16.997,0.0611,4.64,430152013
200.93,430155369,9,3,100103.23-544624.0,150.263437,-54.773319,36,70,58145.857,0,0.919,,,,,,,,,,,,,,,,,,,,,,,,,18.1516,0.1187,18.066,0.0576,18.2748,0.0339,17.7566,0.0867,17.5748,0.1142,17.7996,0.0495,2.58,430155370
