RA,DEC,J,H,Av,R,Weight
274.6773046,-13.80251117,15.27792532,14.433944,1.1411411,18.259307,1
274.6935802,-13.81216021,15.78079859,14.87425,1.2612613,18.865483,1
274.6420342,-13.74420351,16.24965729,15.40985,1.3813814,19.437645,1
274.6746722,-13.7754032,14.77779141,14.001558,1.3813814,17.965779,1
274.6863343,-13.78151097,17.02805859,16.268089,1.3813814,20.216047,1
274.6324581,-13.80496173,16.62222374,15.817753,1.5015015,19.913515,1
274.6255766,-13.83242473,14.94977518,14.113473,1.6216216,18.34437,1
274.6379498,-13.81983996,15.85428773,14.90717,1.6216216,19.248882,1
274.6765314,-13.83466365,15.91660817,14.979219,1.6216216,19.311203,1
274.6960874,-13.81346807,16.14812201,15.23826,1.6216216,19.542717,1
274.6566449,-13.78547982,16.47657893,15.571808,1.7417417,19.974477,1
274.6968071,-13.83042578,15.70507016,14.728619,1.7417417,19.202968,1
274.7034424,-13.79788139,16.01623764,15.06845,1.7417417,19.514136,1
274.7077853,-13.8220576,16.09778788,15.159427,1.7417417,19.595686,1
274.6443673,-13.75326261,14.51869005,13.764815,1.8618619,18.119891,1
274.6743821,-13.78314179,16.84005902,15.994472,1.8618619,20.44126,1
274.7050495,-13.82740964,16.21368509,15.283544,1.8618619,19.814886,1
274.7405081,-13.78849394,16.70923072,15.817402,1.8618619,20.310432,1
274.6362122,-13.76923944,17.11254072,16.264391,1.981982,20.817045,1
274.6510262,-13.80687787,15.85586899,14.865711,1.981982,19.560374,1
274.6701997,-13.80220711,15.83533464,14.837554,1.981982,19.539839,1
274.6817436,-13.79807441,15.77422437,14.777196,1.981982,19.478729,1
274.689413,-13.84214532,16.22606892,15.261891,1.981982,19.930573,1
274.6997537,-13.84313467,16.02702657,15.046846,1.981982,19.731531,1
274.7184406,-13.8064578,16.28865631,15.339381,1.981982,19.993161,1
274.6502815,-13.81122099,16.12311861,15.147681,2.1021021,19.930926,1
274.6558007,-13.800887,16.41820964,15.458338,2.1021021,20.226017,1
274.6777898,-13.80049079,16.33519561,15.380381,2.1021021,20.143003,1
274.6789542,-13.78823809,16.12556583,15.148592,2.1021021,19.933374,1
274.7430672,-13.77863514,15.53673471,14.58441,2.1021021,19.344543,1
274.6543144,-13.7919149,16.61340298,15.664904,2.2222222,20.524514,1
274.6518752,-13.79963387,14.31545144,13.573506,2.2222222,18.226563,1
274.6675955,-13.79476544,15.7782299,14.772841,2.2222222,19.689341,1
274.6869672,-13.80426606,16.23694149,15.247898,2.2222222,20.148053,1
274.6955621,-13.80192387,15.47486803,14.52109,2.2222222,19.385979,1
274.7174097,-13.76917298,15.9746214,14.963567,2.2222222,19.885733,1
