,r_cntr,object_id,ngood,flags,smss_j,RA,DEC,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_band,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_band,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_band,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_band,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
10,48.72,1585660170,1,0,201057.00-564512.0,302.737428,-56.753371,36,36,58317.5438,0,0.442,,,,,,,,,,,,,,,,,,,,,,,,,20.0865,0.1931,19.9633,0.1621,20.0885,0.1441,,,,,,,15.0,
11,48.92,2686745106,0,1040,201057.22-564639.4,302.738432,-56.777618,36,36,59019.614,4,0.645,,,,,,,,,,,,,18.4987,,20.1509,,19.7101,,,,,,,,,,,,,,,,,,,,8.71,2686745105.0
12,53.99,481591801,8,0,201053.34-564543.7,302.722239,-56.762203,53,36,58262.6059,0,0.96,,,,,,,,,,,,,,,,,,,20.1667,0.0424,20.4409,0.0968,20.2946,0.0677,18.6612,0.0168,18.8122,0.0532,18.6859,0.0315,18.0144,0.0287,17.9812,0.2745,18.0536,0.0427,15.0,
13,57.39,481591830,24,2,201104.51-564512.9,302.768767,-56.753629,36,40,57880.884,0,0.984,17.8797,0.0595,18.0371,0.1099,17.9134,0.0571,17.5693,0.0536,17.5322,0.1495,17.5542,0.0697,16.5547,0.0098,16.5393,0.0093,16.5616,0.009,16.2849,0.0122,16.2492,0.0105,16.2879,0.0099,16.1206,0.0166,16.053,0.0403,16.1239,0.0133,16.0358,0.0214,15.8792,0.0475,16.0506,0.0196,4.42,481591831.0
14,58.68,481591831,3,3,201105.01-564514.9,302.770746,-56.754205,124,36,56924.4237,0,0.509,,,,,,,,,,,,,,,,,,,,,,,,,17.7117,0.0981,17.5727,0.1187,17.694,0.0887,17.5017,0.0402,17.4228,0.2108,17.4737,0.0748,4.42,481591830.0
15,60.89,1585660137,5,0,201053.08-564620.7,302.721043,-56.772486,37,40,58499.9169,0,0.897,,,,,,,,,,,,,,,,,,,20.1317,0.0474,20.1697,0.1049,20.1295,0.0794,19.0576,0.0637,18.9878,0.1213,19.1042,0.05,18.6928,0.0682,18.8733,0.1115,18.6979,0.0908,15.0,
16,62.99,481591802,9,0,201054.26-564639.0,302.726134,-56.777538,37,44,58271.9165,0,0.958,,,,,,,,,,,,,,,,,,,20.014,0.0326,20.1033,0.0859,20.0122,0.0529,18.4808,0.0149,18.5839,0.0457,18.4962,0.0275,17.7995,0.0199,17.8591,0.0463,17.8302,0.0314,15.0,
17,66.75,1585660415,3,3,201100.34-564701.8,302.750948,-56.783837,166,99,58317.5424,0,0.406,,,,,,,,,,,,,19.5062,0.276,19.2268,0.0776,19.8533,0.0529,,,,,,,18.6127,0.3346,18.0981,0.0965,18.8922,0.0519,18.6162,0.3236,18.6202,0.111,18.8495,0.1101,2.29,2686745396.0
18,67.21,2686745396,7,3,201100.50-564702.1,302.752098,-56.783919,98,36,58387.1038,0,0.443,,,,,,,,,,,,,19.0498,0.402,18.8258,0.244,19.7748,0.0345,18.064,0.3192,18.2868,0.1826,19.383,0.0348,18.2668,0.2026,18.2547,0.1517,19.0001,0.0992,,,,,,,2.29,1585660415.0
19,68.83,1585660171,1,0,201100.03-564446.1,302.750019,-56.746214,36,36,58317.5438,0,0.518,,,,,,,,,,,,,,,,,,,,,,,,,20.0754,0.0196,20.3199,0.2631,20.0793,0.1424,,,,,,,10.32,1585660172.0
20,71.07,1585660132,9,0,201051.13-564556.9,302.712997,-56.765873,198,99,58449.6543,0,0.423,,,,,,,,,,,,,17.8709,0.3289,17.3621,0.1306,18.9975,0.0207,17.8517,0.2356,17.2482,0.0726,18.8038,0.0213,17.8391,0.2608,17.0993,0.1929,18.584,0.0508,17.9899,0.2496,17.5867,0.2204,18.5573,0.0647,15.0,
21,75.14,481591827,24,0,201101.20-564440.8,302.75488,-56.744704,36,36,57990.3448,0,0.983,,,,,,,18.6506,0.0431,18.7199,0.1965,18.6329,0.0688,18.0001,0.0095,18.0333,0.0175,17.9965,0.01,17.7926,0.0099,17.8309,0.0191,17.7977,0.0112,17.6585,0.0117,17.6683,0.0198,17.6609,0.0137,17.6525,0.0161,17.6486,0.0664,17.6477,0.0265,11.03,1585660171.0
22,76.38,481591832,6,24,201108.93-564541.0,302.787072,-56.761474,68,69,57857.826,4,0.978,,,,,,,,,,,,,18.7717,0.0173,18.7883,0.0273,18.7863,0.0173,18.5778,0.0214,18.4988,0.0363,18.5969,0.0206,18.19,0.1638,18.1907,0.1632,18.2501,0.1414,18.2619,,18.4634,,18.3858,,15.0,
23,76.41,481591824,4,0,201056.66-564442.9,302.735773,-56.74538,36,39,58322.0741,0,0.838,,,,,,,,,,,,,,,,,,,,,,,,,19.1451,0.0699,19.0481,0.0755,19.1624,0.0527,18.6705,0.0455,18.8451,0.0973,18.7305,0.0749,9.62,481591825.0
24,76.72,481591803,15,0,201054.95-564700.7,302.728875,-56.783562,36,41,58135.3499,0,0.915,,,,,,,,,,,,,18.9345,0.0613,18.781,0.0927,18.9636,0.0326,18.3759,0.0523,18.2389,0.0364,18.4069,0.017,17.9433,0.0423,17.849,0.0738,17.9494,0.0195,17.7023,0.0448,17.6386,0.0472,17.6705,0.0274,15.0,
25,78.55,1585660453,1,0,201106.81-564648.1,302.778312,-56.780096,36,36,58331.4411,0,0.502,,,,,,,,,,,,,,,,,,,20.0487,0.1143,20.1506,0.198,20.1083,0.0856,,,,,,,,,,,,,11.02,481592013.0
26,78.6,1585660172,1,0,201059.63-564436.4,302.748362,-56.743496,36,36,58317.5395,0,0.477,,,,,,,,,,,,,,,,,,,20.4375,0.1104,20.8323,0.2363,20.4408,0.1046,,,,,,,,,,,,,10.32,1585660171.0
27,79.3,481592013,26,0,201107.71-564640.0,302.782087,-56.77784,36,36,57898.8605,7,0.985,18.0326,0.0231,18.12,0.0731,18.0563,0.047,17.6411,0.0416,17.6871,0.1288,17.6243,0.044,15.9161,0.0082,15.9179,0.0117,15.9158,0.0083,15.4342,0.0084,15.4416,0.0101,15.4346,0.009,15.0857,0.0098,15.0971,0.0169,15.0866,0.0111,14.9152,0.0112,14.9432,0.016,14.9127,0.0122,11.02,1585660453.0
28,79.96,1585660134,11,0,201051.50-564512.8,302.714563,-56.753627,80,36,58428.161,0,0.965,,,,,,,,,,,,,19.418,0.0162,19.4844,0.0737,19.4227,0.0213,19.1369,0.019,19.2409,0.0496,19.131,0.0216,18.881,0.0466,18.9988,0.1531,18.9224,0.0635,18.714,0.0678,18.9587,0.1275,18.8693,0.1122,14.87,1585660131.0
29,80.99,481591797,35,0,201051.73-564641.7,302.715479,-56.778314,36,36,58015.0682,0,0.985,17.2103,0.0181,17.2292,0.0316,17.2194,0.0223,16.8905,0.0181,16.9633,0.0379,16.8948,0.0198,15.7156,0.0067,15.7173,0.0115,15.7155,0.0069,15.3653,0.0071,15.3723,0.0073,15.3664,0.0075,15.1249,0.0084,15.1425,0.0094,15.1238,0.0091,15.0334,0.0094,15.0775,0.0132,15.0343,0.0108,15.0,
