objid,ra,dec,i,r,g,ra_px,dec_px
1237667253465251856,150.055007554063,24.8070067135835,20.75112,21.19159,22.13908,1292.9265380229172,367.6566964696726
1237667253465251987,150.065428706234,24.8264905221142,16.66624,16.95487,17.64817,1437.9470113367483,500.7331393054233
1237667253465252118,150.058660956405,24.6815797845453,19.84662,20.03367,20.36287,192.21770465883696,70.13300219962753
1237667253465252016,150.104550370707,24.8030515047794,18.6349,18.88747,19.64457,1141.4740958984578,749.0378455016694
1237667253465252567,150.17608166224,24.7968261663891,19.59226,19.95742,20.89838,918.557740549168,1298.4698792518682
1237667253465251885,150.148041059084,24.7065144443001,16.64941,17.42976,18.82623,198.17158098903155,842.2280146321468
1237667253465251920,150.195117573524,24.7795569315729,18.73437,20.20631,25.11435,723.3053949942513,1404.2159195956015
1237667253465252217,150.05142734248,24.7295995771701,21.39749,22.81558,24.96849,627.4255471079966,137.87908657753894
1237667253465251869,150.044974434126,24.8265566564706,21.3172,22.18585,24.159,1486.8538398265782,339.23740190404817
1237667253465251845,150.032497645845,24.7766683380324,16.43446,16.6888,17.37291,1082.0011892402156,110.71624107565458
1237667253465251950,150.047934800081,24.7537133877051,15.94052,17.2476,18.70659,845.6362526366206,173.02220582853067
1237667253465251868,150.047029183768,24.8257046182619,14.69208,14.85427,15.37782,1474.5792277450105,353.2596141088387
1237667253465252125,150.063677116599,24.7167361592638,20.34022,21.75437,23.201,486.45867266229845,201.304908795894
1237667253465251954,150.033637118353,24.8049418395577,15.87765,16.53909,17.87724,1325.4661207418785,193.34816910479958
1237667253465251863,150.082750668559,24.7139708075166,16.06942,16.20437,16.51169,417.29151028476304,345.0069702579533
1237667253465251975,150.094261713559,24.7219850256919,16.30036,17.05188,18.47456,459.87405319206164,456.91551123386057
1237667253465251895,150.165409162858,24.7267439759825,15.66243,15.84532,16.27341,333.3721132052998,1032.173124313294
1237667253465251915,150.17137085852,24.7752544347327,14.81765,14.97323,15.36624,741.7909104305159,1205.2356315670052
1237667253465251993,150.125578001225,24.687601364971,15.30987,16.05261,17.45381,86.4964184887607,615.3417936956007
1237667253465252156,150.083726797499,24.867390586613,21.40596,22.39187,24.05591,1750.862086249782,751.7357191308757
1237667253465251936,150.030250157973,24.7706681666747,21.24851,21.74186,23.36006,1035.077554477031,77.32077989219931
1237667253465251898,150.164785993189,24.7237831080796,20.14289,20.29343,21.05458,309.0559491142358,1019.5573491057664
1237667253465252095,150.174484810474,24.8046850743942,19.19932,19.55952,20.40364,990.764426305779,1306.2358014310253
1237667253465252438,150.148472405542,24.7231230721325,21.5807,21.97862,23.03049,341.7912421449397,888.7676689415633
1237667253465252378,150.107524832141,24.7701874090547,21.47311,21.6825,22.00947,848.2798067275231,687.1333382580583
1237667253465252333,150.05571921601,24.8552468475015,21.46044,21.68348,22.37431,1711.2621248302391,498.8290051415423
1237667253465252226,150.042877217925,24.7417424698547,19.41339,19.83212,21.13083,753.3710248960167,101.86059795497863
1237667253465252141,150.101951863305,24.7284720453035,20.68211,22.74316,23.8264,498.19392630750167,534.6179219470387
1237667253465251994,150.12494103105,24.6878344720432,17.13568,18.41193,19.8165,90.0305339648844,610.9064995965109
1237667253465252031,150.112502843849,24.8182630317399,21.9316,22.41026,23.03694,1255.1645027118725,851.4457451628016
1237667253465252099,150.206840036236,24.7459294072464,18.0434,18.97868,20.42219,402.8098851280387,1409.7405766350682
1237667253465252181,150.157639553248,24.8246031691042,20.46455,22.03269,24.20207,1203.9281668134506,1224.745466269783
1237667253465252228,150.042283062519,24.7426625603673,22.50091,23.53465,24.18967,762.7871464484734,99.55674261991498
1237667253465252274,150.028024573094,24.8662679036213,22.14042,23.1232,24.00268,1872.660125566823,308.6934044819832
1237667253465252487,150.152666646203,24.7685710384344,22.47954,23.15482,24.09493,727.6860418577465,1039.9519264807789
1237667253465252527,150.170338359502,24.7557530699544,22.28296,23.47664,23.83602,574.387619630601,1146.4589971286841
1237667253465251982,150.06931025229,24.8120170590197,22.35499,21.94947,21.72423,1302.756812325581,493.75807079593926
1237667253465252222,150.049992322662,24.7167272158404,19.1761,19.6235,20.66997,518.7435042692687,93.02264751885718
1237667253465252076,150.214714713206,24.7190387377216,21.12905,21.64031,23.19008,150.04822131754042,1402.3312554200934
1237667253465251875,150.048855738101,24.8628115084782,21.08402,22.38712,24.00793,1793.3402318304366,464.2845064184022
1237667253465252052,150.167744562543,24.7803092378354,21.73058,22.64856,23.8922,794.360897255855,1189.6740420995168
1237667253465251906,150.149670555975,24.8506478069044,21.77687,22.78888,24.70955,1449.5249474312645,1229.3711055448189
1237667253465252568,150.175597935832,24.7952482037768,20.73756,22.3016,23.24971,905.9550179502874,1290.550003339989
1237667253465252485,150.15008483547,24.7644479360463,21.49185,22.3557,23.6454,697.8685971081045,1008.8261098082844
1237667253465251850,150.051996294618,24.773924769698,22.26854,23.11764,23.25203,1012.0076626146197,257.7477832652218
1237667253465252334,150.05672915166,24.8539664812578,22.332,22.86778,23.46384,1697.7284456233172,503.4774553148817
1237667253465252012,150.114131022742,24.7746412448725,22.06081,22.73445,23.28644,871.4679733617172,750.9524981655534
1237667253465252470,150.152698196241,24.7448033075459,23.28912,23.23905,23.4498,520.6268465090908,978.4920940176855
1237667253465252003,150.123736866922,24.7332829583262,22.02003,22.81233,22.24401,488.64456862396844,719.4611565621784
1237667253465252183,150.159276431673,24.8251310296283,22.09541,22.28637,23.17367,1204.6671643101708,1239.0565476228653
1237667253465252529,150.169213289124,24.7613169189042,19.29305,19.89148,21.16759,625.4954391300548,1151.9991362082662
1237667253465252514,150.117836100907,24.9034218184217,21.32394,21.88188,22.57134,1984.1425500541263,1114.8989874829113
1237667253465252166,150.131909200564,24.789447994471,21.08678,21.15882,21.35734,958.4533758969197,930.0115252667872
1237667253465252175,150.121579161732,24.897424077257,20.24345,20.36955,20.66263,1923.0887885310378,1128.8852695645578
1237667253465252056,150.192349450301,24.7070024872602,18.03272,18.43345,19.40959,97.92000764480144,1194.1285018850585
1237667253465251968,150.064421783535,24.7710778846503,15.99098,16.38995,17.32706,957.849768061602,348.59198548565945
1237667253465252021,150.079240849223,24.8857397397416,19.54335,19.80083,19.77665,1921.2224786220963,764.0158831002186
1237667253465252037,150.104384997312,24.8645113510495,19.79762,20.21523,20.09377,1677.0401472776184,907.4909753509952
1237667253465252394,150.102682954131,24.7932812346567,19.50726,20.45522,22.03782,1060.805679562099,708.87550178686
1237667253465252330,150.056334345534,24.850513175435,19.97172,21.01266,22.43071,1668.5937728802965,491.37042971441997
1237667253465252450,150.143406013971,24.7586185413356,21.62638,21.9246,22.35696,662.8572560874611,940.8620143005229
1237667253465252293,150.033495617928,24.8609618690521,22.33055,22.6718,23.31489,1813.5326289435002,338.10300382825994
1237667253465251874,150.047303486777,24.8644557292437,16.26662,16.3638,16.60025,1811.3232539107805,456.29952439378377
1237667253465252017,150.103665412614,24.802768406781,20.68989,21.48686,22.87882,1141.0978984957328,741.3052800643374
1237667253465251919,150.195773183257,24.7784907225368,13.92572,13.91756,14.31819,712.4748852434066,1406.6360022816584
1237667253465251955,150.032692081968,24.8040260177454,21.11755,21.76267,23.13098,1319.7272436896023,183.4929811721937
1237667253465252666,150.061110998916,24.8488386081437,21.8557,22.34153,23.5639,1642.7299468600854,524.7599026712646
1237667253465252618,150.047892073075,24.7146461794397,22.72853,22.73299,23.44125,505.5923811114501,70.99106181611603
1237667253465252774,150.045347888361,24.7395093310277,22.38173,25.2485,24.88448,728.084505023013,115.58804421606237
1237667253465252243,150.041138239387,24.7699240632371,21.78023,21.93055,22.42238,1002.8479476841133,161.4766490274444
1237667253465252256,150.055652871805,24.7503363970498,22.18176,23.01882,23.28974,797.9844146103671,225.27146402507628
1237667253465252784,150.083529225012,24.6804516771195,22.0702,22.85883,23.36369,123.58866112818032,263.99114400243866
1237667253465252645,150.028236825507,24.8577655336383,23.1966,22.91038,24.46504,1798.134297114293,288.2277614199204
1237667253465252790,150.078450409047,24.7134628288946,22.11826,23.08947,25.05855,423.0322733252858,309.6642630054954
1237667253465252649,150.060314594772,24.7712876087456,22.90749,22.53605,23.39265,969.3832193788379,316.6600380125758
1237667253465252791,150.030595370365,24.8751670987768,21.71508,23.43102,24.78786,1944.0631400187895,352.17973320934647
1237667253465252792,150.03950150912,24.8491043434399,21.93643,23.23929,24.33984,1696.101228803128,354.6857770623551
1237667253465252659,150.094029821333,24.7260098579041,21.66001,22.32843,23.62075,495.4683043229986,465.5459014084001
1237667253465252660,150.068988330599,24.8033270156668,22.34703,22.56666,24.14142,1227.8526450661739,468.60450844666553
1237667253465252800,150.072997733111,24.8101757739416,22.08925,23.61508,24.3246,1278.013823969633,518.1178739984417
1237667253465252139,150.085450087782,24.7782414786989,25.07607,25.67929,25.66738,970.5403430803636,533.5082632707436
1237667253465252804,150.094706952093,24.7599294453884,22.09292,23.32025,25.23466,789.2249208949913,559.0951916737238
1237667253465252805,150.101568347994,24.7391964078717,22.22959,23.46066,24.03868,592.4841067138698,559.4631347004349
1237667253465252806,150.109985736796,24.7198184521076,22.21616,23.96649,25.22209,403.86536769079953,575.6824732617545
1237667253465252419,150.090634632652,24.8793212560412,22.28456,22.9563,22.74818,1838.443925233592,837.3435748436261
1237667253465252825,150.139046701732,24.7552097039023,21.94494,23.63426,25.49723,643.4562446500623,897.527752293547
1237667253465252826,150.154884494713,24.714181954396,22.18313,23.26769,24.26557,248.797892950942,916.2878392424992
1237667253465252710,150.145936633077,24.7447135820932,22.98403,22.68891,23.39191,535.7959335928163,924.7704018044657
1237667253465252711,150.109375568352,24.8610784706286,23.15288,22.77529,24.17086,1635.373626597153,938.005686412074
1237667253465252829,150.134925162351,24.7909086390537,22.09745,23.13331,23.85594,964.0582884833087,957.6544783411791
1237667253465252831,150.154294764672,24.7372770672729,22.27093,23.21245,25.0185,451.3173138704849,971.5821807130702
1237667253465252473,150.141355513606,24.7853453493349,22.74471,24.18862,23.35918,900.4431516669441,994.0546462845024
