,RA,DEC,J,H,Av,R,Weight,in_field
1779,274.6863218,-13.78362149,18.86494459,17.038579,10.630631,30.007287,1,IN
1819,274.6634463,-13.76938498,18.70525241,16.831633,10.870871,30.054202,1,IN
1821,274.6655536,-13.7643539,13.67357757,12.628629,10.870871,25.022527,1,IN
1843,274.693856,-13.77843191,19.17567336,17.337457,10.990991,30.627926,1,IN
1844,274.6708609,-13.77799575,18.95343697,17.077632,10.990991,30.405689,1,IN
1845,274.6653489,-13.77619024,19.68394417,17.907257,10.990991,31.136197,1,IN
1846,274.6588478,-13.77600918,15.02308575,13.896037,10.990991,26.475338,1,IN
1847,274.6832573,-13.77531194,19.69019743,17.892818,10.990991,31.14245,1,IN
1848,274.6612192,-13.77226309,18.47025918,16.537598,10.990991,29.922512,1,IN
1849,274.6726757,-13.77159271,19.58121022,17.780574,10.990991,31.033463,1,IN
1850,274.6840774,-13.7714479,19.93601988,18.179525,10.990991,31.388272,1,IN
1851,274.6804942,-13.76933253,19.44713623,17.635613,10.990991,30.899389,1,IN
1852,274.6796632,-13.76920617,15.01973784,13.89509,10.990991,26.47199,1,IN
1853,274.6599892,-13.76885463,19.70368815,17.927712,10.990991,31.155941,1,IN
1854,274.6759039,-13.76874248,20.01902786,18.268241,10.990991,31.47128,1,IN
1855,274.6815261,-13.76682787,19.45127538,17.677912,10.990991,30.903528,1,IN
1856,274.6979511,-13.76371483,19.31967847,17.483991,10.990991,30.771931,1,IN
1857,274.6773036,-13.76339615,19.47090146,17.658439,10.990991,30.923154,1,IN
1858,274.685002,-13.76080987,19.30871402,17.485398,10.990991,30.760966,1,IN
1859,274.6883859,-13.75909342,19.3238457,17.491213,10.990991,30.776098,1,IN
1842,274.6755763,-13.778561,19.47488546,17.66861,10.990991,30.927138,1,IN
1820,274.6543157,-13.76792082,20.02958592,18.303612,10.870871,31.378535,1,IN
1841,274.6575265,-13.78277035,19.40897261,17.613266,10.870871,30.757922,1,IN
1839,274.6780612,-13.78691177,19.54307997,17.773773,10.870871,30.892029,1,IN
