source_id,ra_Gaia,dec_Gaia,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight
5.94E+18,251.753274,-45.85057228,16.063848,4.9784184,NOT_AVAILABLE,1346,251.7533023,-45.8505757,251.7532766,-45.8505815,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.467,0.012,10.364,0.008999,9.8620004,0.014,1,1,1
5.94E+18,251.7587916,-45.85697962,16.090353,5.2548637,NOT_AVAILABLE,3235,251.7588213,-45.8569819,251.7587918,-45.8569883,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.328,0.009999,10.164999,0.007,9.6160001,0.010999,1,1,1
5.94E+18,251.7505964,-45.85291989,16.154102,5.0205736,NOT_AVAILABLE,1251,251.7506263,-45.8529212,251.7505979,-45.8529281,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.496999,0.012,10.371999,0.008,9.8509998,0.012,1,1,1
5.94E+18,251.7646452,-45.84734252,16.15776,5.267824,VARIABLE,5933,251.7646596,-45.8473523,251.7646397,-45.8473551,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.357999,0.017,10.189999,0.009999,9.6560001,0.016,1,1,1
5.94E+18,251.7780739,-45.84938688,16.163143,5.756089,NOT_AVAILABLE,4338,251.7780844,-45.8493946,251.7780666,-45.8493954,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.022,0.013,9.776,0.008,9.1420001,0.019999,1,1,1
5.94E+18,251.7640387,-45.8509511,16.16946,5.7610054,NOT_AVAILABLE,5627,251.764056,-45.8509569,251.764033,-45.8509608,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.956,0.013,9.6649999,0.006,9.071,0.010999,1,1,1
5.94E+18,251.7727484,-45.84591488,16.186594,4.751396,VARIABLE,5113,251.7727627,-45.8459217,251.7727463,-45.8459226,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.586,0.014,10.423999,0.017999,9.9910001,0.032,1,1,1
5.94E+18,251.7566438,-45.86258371,16.236626,5.0215607,NOT_AVAILABLE,5878,251.7566751,-45.8625806,251.7566404,-45.8625888,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.428999,0.027,10.043,0.014,9.3179998,0.012,1,1,1
5.94E+18,251.7652207,-45.84763,16.256138,5.689945,NOT_AVAILABLE,5095,251.7652291,-45.8476389,251.7652091,-45.8476417,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.454,0.014999,10.246999,0.009999,9.6709995,0.017999,1,1,1
5.94E+18,251.7749519,-45.83996271,16.270184,5.08323,VARIABLE,5961,251.7749423,-45.8399475,251.7749314,-45.8399465,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.034999,0.09,10.005,0.072999,9.4499998,0.127,1,1,1
